Lab Name,UKAS Number,Address,Fake Email,Website,Discipline(s),Org Type,Postcode,OSEAST100M,OSNRTH100M,Responses
East Suffolk and North Essex NHS Foundation Trust,27661,"Histopathology, Colchester Hospital, Turner Road, Colchester, Essex CO4 5JL, United Kingdom",histopathology.colchester@notnhs.net,http://www.ESNEFT.nhs.uk/,Histopathology,NHS,CO4 5JL,5995,2274,
West Suffolk NHS Foundation Trust,21736,"Cellular Pathology, West Suffolk Hospital, Hardwick Lane, Bury St Edmunds IP33 2QZ, United Kingdom",cellularpathology.westsuffolk@notnhs.net,https://www.wsh.nhs.uk/Home.aspx,Histopathology,NHS,IP33 2QZ,5851,2627,Delivery Failed
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,21187,"Department of Histopathology, Gobowen, Oswestry SY10 7AG, United Kingdom",histopathology.gobowen@notnhs.net,https://www.rjah.nhs.uk/,Histopathology,NHS,SY10 7AG,3306,3323,
University Hospitals Sussex NHS Foundation Trust,8267,"Cellular Pathology, St Richard's Hospital, Spitalfield Lane, Chichester, West Sussex PO19 6SE, United Kingdom",cellularpathology.strichards@notnhs.net,http://www.uhsussex.nhs.uk,Histopathology,NHS,PO19 6SE,4868,1056,
University Hospitals Sussex NHS Foundation Trust,9337,"Department of Cellular Pathology, The Royal Sussex County Hospital, Adj Thomas Kemp Tower Block, Eastern Road, Brighton BN2 5BE, United Kingdom",cellularpathology.royalsussex@notnhs.net,http://www.frontierpathology.nhs.uk,Histopathology,NHS,BN2 5BE,5326,1039,
Northern Care Alliance NHS Foundation Trust,9902,"Cellular Pathology Department, Level 2 Turnberg Building, Salford Royal Hospital, Stott Lane, Salford M6 8HD, United Kingdom",cellularpathology.salfordroyal@notnhs.net,http://www.srft.nhs.uk/paws/cellular-pathology/,Histopathology,NHS,M6 8HD,3786,3990,
Kettering General Hospital NHS Foundation Trust,8118,"Pathology, Kettering General Hospital, Rothwell Road, Kettering NN16 8UZ, United Kingdom",pathology.ketteringgeneral@notnhs.net,http://www.kgh.nhs.uk,Histopathology,NHS,NN16 8UZ,4857,2790,
University Hospitals Bristol and Weston NHS Foundation Trust,8382,"Pathology Laboratory, Weston General Hospital, Grange Road, Uphill, Weston-super-Mare, North Somerset BS23 4TQ, United Kingdom",pathology.westongeneral@notnhs.net,,Histopathology,NHS,BS23 4TQ,3324,1585,
Royal Cornwall Hospitals NHS Trust,8869,"Royal Cornwall Hospitals NHS Trust, RCHT Pathology Service , c/o Microbiology Department, Royal Cornwall Hospital, Truro, Cornwall TR1 3LQ, United Kingdom",pathology.royalcornwall@notnhs.net,http://www.rcht.nhs.uk,Histopathology,NHS,TR1 3LQ,1797,453,
University College London Hospitals NHS Foundation Trust,8116,"National Hospital for Neurology & Neurosurgery, Neuropathology, 1st floor, UCL Institute of Neurology, Queen Square, London WC1N 3BG, United Kingdom",neuropathology.nhnn@notnhs.net,https://www.ucl.ac.uk/ion/divisions/neuropathology,Histopathology,NHS,WC1N 3BG,5303,1820,
Royal Devon University Healthcare NHS Foundation Trust,8123,"Cellular Pathology, Royal Devon & Exeter Hospital, Church Lane, Exeter, Devon EX2 5AD, United Kingdom",cellularpathology.royaldevon@notnhs.net,http://www.exeterlaboratory.com/cellular-pathology/,Histopathology,NHS,EX2 5AD,2937,920,
Calderdale and Huddersfield NHS Foundation Trust,8992,"Pathology, Huddersfield Royal Infirmary, Acre Street, Lindley HD3 3EA, United Kingdom",pathology.huddersfield@notnhs.net,http://www.cht.nhs.uk,Histopathology,NHS,HD3 3EA,4122,4176,
Synnovis Analytics LLP,8620,"Department of Clinical Neuropathology, Kingâ€™s College Hospital NHS Foundation Trust, Denmark Hill, London SE5 9RS, United Kingdom",neuropathology.kingscollege@notnhs.net,http://www.synnovis.co.uk,Histopathology,NHS,SE5 9RS,5324,1760,
Imperial College Healthcare NHS Trust operating as North West London Pathology,8674,"St Mary's Hospital, 2nd Floor Mint Wing, Praed Street, London W2 1NY, United Kingdom",pathology.stmarys@notnhs.net,http://www.pathology.imperial.nhs.uk,Histopathology,NHS,W2 1NY,5268,1813,Delivery Failed
North West Anglia NHS Foundation Trust,8055,"Pathology Department, Department 413, Peterborough City Hospital, Edith Cavell Campus, Bretton Gate PE3 9GZ, United Kingdom",pathology.peterboroughcity@notnhs.net,http://www.peterboroughandstamford.nhs.uk/,Histopathology,NHS,PE3 9GZ,5166,2998,
NHS Fife,8816,"Department of Cellular Pathology, North Laboratories, Hayfield Road, Kirkcaldy, Fife KY2 5AH, United Kingdom",cellularpathology.kirkcaldy@notnhs.net,,Histopathology,NHS,KY2 5AH,3279,6930,
Maidstone & Tunbridge Wells NHS Trust,8062,"Cellular Pathology Department, Maidstone Hospital, Hermitage Lane, Maidstone ME16 9QQ, United Kingdom",cellularpathology.maidstone@notnhs.net,,Histopathology,NHS,ME16 9QQ,5733,1556,
The Royal Wolverhampton NHS Trust operating as Black Country Pathology Services,8665,"Department of Cellular Pathology, Pathology Centre C37, New Cross Hospital, Wolverhampton Road, Wolverhampton WV10 0QP, United Kingdom",cellularpathology.newcross@notnhs.net,http://www.royalwolverhampton.nhs.uk/,Histopathology,NHS,WV10 0QP,3936,3002,
Norfolk & Norwich University Hospitals NHS Foundation Trust,8405,"Norfolk and Waveney, Cellular Pathology Service, The Cotman Centre, Colney Lane, Norwich NR4 7UB, United Kingdom",cellularpathology.norfolkwaveney@notnhs.net,http://www.nnuh.nhs.uk/,Histopathology,NHS,NR4 7UB,6182,3078,
York and Scarborough Teaching Hospitals NHS Foundation Trust,9844,"Pathology Department, Pathology Building, Hull Royal Infirmary, Anlaby Road, Hull HU3 2JZ, United Kingdom",pathology.hullroyal@notnhs.net,http://www.hey.nhs.uk,Histopathology,NHS,HU3 2JZ,5083,4287,
University Hospitals of Leicester NHS Trust,8608,"Department of Cellular Pathology, Sandringham Building, Leicester Royal Infirmary, Infirmary Square, Leicester LE1 5WW, United Kingdom",cellularpathology.leicesterroyal@notnhs.net,http://www.leicestershospitals.nhs.uk,Histopathology,NHS,LE1 5WW,4585,3035,
