Lab Name,UKAS Number,Address,Telephone Number,Email Address,Website,Discipline(s),Flags,Org Type,Postcode,OSEAST100M,OSNRTH100M
East Suffolk and North Essex NHS Foundation Trust,27661,"Histopathology, Colchester Hospital, Turner Road, Colchester, Essex CO4 5JL, United Kingdom",+44 (0)7565 803455,bonita.dyers@esneft.nhs.uk,http://www.ESNEFT.nhs.uk/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,CO4 5JL,5995,2274
West Suffolk NHS Foundation Trust,21736,"Cellular Pathology, West Suffolk Hospital, Hardwick Lane, Bury St Edmunds IP33 2QZ, United Kingdom",+44 (0) 1284 713091,David.cusack@wsh.nhs.uk,https://www.wsh.nhs.uk/Home.aspx,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,IP33 2QZ,5851,2627
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,21187,"Department of Histopathology, Gobowen, Oswestry SY10 7AG, United Kingdom",+44 (0) 1691 404148,rjah.histology@nhs.net,https://www.rjah.nhs.uk/,Histopathology,,NHS,SY10 7AG,3306,3323
Norfolk and Norwich University NHS Foundation Trust trading as Eastern Pathology Alliance,20494,"Blood Sciences Laboratory, Queen Elizabeth Hospital, Gayton Road, Kings Lynn PE30 4ET, United Kingdom",+44 (0)1603 286900,Fiona.Butcher@nnuh.nhs.uk,,"Biochemistry, Histopathology",Added histopathology by rule,NHS,PE30 4ET,5652,3204
Norfolk and Norwich University Hospitals NHS Foundation Trust trading as Eastern Pathology Alliance,21363,"Blood Sciences Laboratory, James Paget University Hospital, Lowestoft Road, Gorleston-on-Sea, Great Yarmouth NR31 6LA, United Kingdom",+44 (0)1603 286900,david.stokley@nnuh.nhs.uk,,"Biochemistry, Histopathology",Added histopathology by rule,NHS,NR31 6LA,6520,3024
University Hospitals Sussex NHS Foundation Trust,8267,"Cellular Pathology, St Richard's Hospital, Spitalfield Lane, Chichester, West Sussex PO19 6SE, United Kingdom",+44 (0)1243788122 ext. 32063,liza.faustino@nhs.net,http://www.uhsussex.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,PO19 6SE,4868,1056
University Hospitals Sussex NHS Foundation Trust,9337,"Department of Cellular Pathology, The Royal Sussex County Hospital, Adj Thomas Kemp Tower Block, Eastern Road, Brighton BN2 5BE, United Kingdom",+44 (0) 1273 667042 / 664591,liza.faustino@nhs.net,http://www.frontierpathology.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BN2 5BE,5326,1039
Northern Care Alliance NHS Foundation Trust,9902,"Cellular Pathology Department, Level 2 Turnberg Building, Salford Royal Hospital, Stott Lane, Salford M6 8HD, United Kingdom",+44 (0) 161 206 5016,louise.bell@nca.nhs.uk,http://www.srft.nhs.uk/paws/cellular-pathology/,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,M6 8HD,3786,3990
Kettering General Hospital NHS Foundation Trust,8118,"Pathology, Kettering General Hospital, Rothwell Road, Kettering NN16 8UZ, United Kingdom",+44 (0) 1536 492825,caroline.parkes@nhs.net,http://www.kgh.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,NN16 8UZ,4857,2790
University Hospitals Bristol and Weston NHS Foundation Trust,8382,"Pathology Laboratory, Weston General Hospital, Grange Road, Uphill, Weston-super-Mare, North Somerset BS23 4TQ, United Kingdom",+44 (0) 117 3422575,Adrian.brown@uhbw.nhs.uk,,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,BS23 4TQ,3324,1585
Royal Cornwall Hospitals NHS Trust,8869,"Royal Cornwall Hospitals NHS Trust, RCHT Pathology Service , c/o Microbiology Department, Royal Cornwall Hospital, Truro, Cornwall TR1 3LQ, United Kingdom",+44 (0)1872 252582,sarahpointon@nhs.net,http://www.rcht.nhs.uk,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,TR1 3LQ,1797,453
University College London Hospitals NHS Foundation Trust,8116,"National Hospital for Neurology & Neurosurgery, Neuropathology, 1st floor, UCL Institute of Neurology, Queen Square, London WC1N 3BG, United Kingdom",+44 (0)203 448 4250,vaneeshagibbons@nhs.net,https://www.ucl.ac.uk/ion/divisions/neuropathology,Histopathology,Unclassified by keywords; Added histopathology by rule,NHS,WC1N 3BG,5303,1820
